,DirichletModel_MultimodalClassifier_dc
1214,3.6568928
1215,3.6568928
1216,3.6568928
1217,3.6568928
1218,3.6568928
1219,3.6568928
1220,3.6568928
1221,3.6568928
1222,3.6568928
1223,3.6568928
1224,3.6568928
1225,3.6568928
1226,3.6568928
1227,3.6568928
1228,3.6568928
1229,3.6568928
1230,3.6568928
1231,3.6568928
1232,3.6568928
1233,3.6568928
1234,3.6568928
1235,3.6568928
1236,3.6568928
1237,3.6568928
1238,3.6568928
1239,3.6568928
1240,3.6568928
1241,3.6568928
1242,3.6568928
1243,3.6568928
1244,3.6568928
1245,3.6568928
1246,3.6568928
1247,3.6568928
1248,3.6568928
1249,3.6568928
1250,3.6568928
1251,3.6568928
1252,3.6568928
1253,3.6568928
1254,3.6568928
1255,3.6568928
1256,3.6568928
1257,3.6568928
1258,3.6568928
1259,3.6568928
1260,3.6568928
1261,3.6568928
1262,3.6568928
1263,3.6568928
1264,3.6568928
1265,3.6568928
1266,3.6568928
1267,3.6568928
1268,3.6568928
1269,3.6568928
1270,3.6568928
1271,3.6568928
1272,3.6568928
1273,3.6568928
1274,3.6568928
1275,3.6568928
1276,3.6568928
1277,3.6568928
1278,3.6568928
1279,3.6568928
1280,3.6568928
1281,3.6568928
1282,3.6568928
1283,3.6568928
1284,3.6568928
1285,3.6568928
1286,3.6568928
1287,3.6568928
1288,3.6568928
1289,3.6568928
1290,3.6568928
1291,3.6568928
1292,3.6568928
1293,3.6568928
1294,3.6568928
1295,3.6568928
1296,3.6568928
1297,3.6568928
1298,3.6568928
1299,3.6568928
1300,3.6568928
1301,3.6568928
1302,3.6568928
1303,3.6568928
1304,3.6568928
1305,3.6568928
1306,3.6568928
1307,3.6568928
1308,3.6568928
1309,3.6568928
1310,3.6568928
1311,3.6568928
1312,3.6568928
1313,3.6568928
1314,3.6568928
1315,3.6568928
1316,3.6568928
1317,3.6568928
1318,3.6568928
1319,3.6568928
1320,3.6568928
1321,3.6568928
1322,3.6568928
1323,3.6568928
1324,3.6568928
1325,3.6568928
1326,3.6568928
1327,3.6568928
1328,3.6568928
1329,3.6568928
1330,3.6568928
1331,3.6568928
1332,3.6568928
1333,3.6568928
1334,3.6568928
1335,3.6568928
1336,3.6568928
1337,3.6568928
1338,3.6568928
1339,3.6568928
1340,3.6568928
1341,3.6568928
1342,3.6568928
1343,3.6568928
1344,3.6568928
1345,3.6568928
1346,3.6568928
1347,3.6568928
